#ID = 
#miRNA_ID = Name of targeted human miRNA
#miRNA_ID_LIST = Name of targeted miRNA (miRBase 12.0)
#SPOT_ID = 
ID	miRNA_ID	miRNA_ID_LIST	SPOT_ID
hsa-miR-19a*	hsa-miR-19a*	hsa-miR-19a*/ mmu-miR-19a*	
hsa-miR-19a	hsa-miR-19a	hsa-miR-19a/ mmu-miR-19a/ rno-miR-19a	
hsa-miR-19b-1*	hsa-miR-19b-1*	hsa-miR-19b-1*	
hsa-miR-19b-2*	hsa-miR-19b-2*	hsa-miR-19b-2*	
hsa-miR-19b	hsa-miR-19b	hsa-miR-19b/ mmu-miR-19b/ rno-miR-19b	
hsa-miR-200a*	hsa-miR-200a*	hsa-miR-200a*/ mmu-miR-200a*	
hsa-miR-200a	hsa-miR-200a	hsa-miR-200a/ mmu-miR-200a/ rno-miR-200a	
hsa-miR-200b*	hsa-miR-200b*	hsa-miR-200b*/ mmu-miR-200b*	
hsa-miR-200b	hsa-miR-200b	hsa-miR-200b/ mmu-miR-200b	
hsa-miR-200c*	hsa-miR-200c*	hsa-miR-200c*/ mmu-miR-200c*	
hsa-miR-200c	hsa-miR-200c	hsa-miR-200c/ mmu-miR-200c/ rno-miR-200c	
hsa-miR-202	hsa-miR-202	hsa-miR-202	
hsa-miR-202*	hsa-miR-202*	hsa-miR-202*	
hsa-miR-203	hsa-miR-203	hsa-miR-203/ mmu-miR-203/ rno-miR-203	
hsa-miR-204	hsa-miR-204	hsa-miR-204/ mmu-miR-204/ rno-miR-204	
hsa-miR-205	hsa-miR-205	hsa-miR-205/ mmu-miR-205/ rno-miR-205	
hsa-miR-206	hsa-miR-206	hsa-miR-206/ mmu-miR-206/ rno-miR-206	
hsa-miR-208a	hsa-miR-208a	hsa-miR-208a/ mmu-miR-208a/ rno-miR-208	
hsa-miR-208b	hsa-miR-208b	hsa-miR-208b/ mmu-miR-208b	
hsa-miR-20a	hsa-miR-20a	hsa-miR-20a	
hsa-miR-20a*	hsa-miR-20a*	hsa-miR-20a*	
hsa-miR-20b*	hsa-miR-20b*	hsa-miR-20b*	
hsa-miR-20b	hsa-miR-20b	hsa-miR-20b/ mmu-miR-20b/ rno-miR-20b-5p	
hsa-miR-21*	hsa-miR-21*	hsa-miR-21*	
hsa-miR-21	hsa-miR-21	hsa-miR-21/ mmu-miR-21/ rno-miR-21	
hsa-miR-210	hsa-miR-210	hsa-miR-210/ mmu-miR-210/ rno-miR-210	
hsa-miR-211	hsa-miR-211	hsa-miR-211	
hsa-miR-212	hsa-miR-212	hsa-miR-212/ mmu-miR-212/ rno-miR-212	
hsa-miR-214*	hsa-miR-214*	hsa-miR-214*/ mmu-miR-214*	
hsa-miR-214	hsa-miR-214	hsa-miR-214/ mmu-miR-214/ rno-miR-214	
hsa-miR-215	hsa-miR-215	hsa-miR-215	
hsa-miR-216a	hsa-miR-216a	hsa-miR-216a/ mmu-miR-216a/ rno-miR-216a	
hsa-miR-216b	hsa-miR-216b	hsa-miR-216b/ mmu-miR-216b	
hsa-miR-217	hsa-miR-217	hsa-miR-217/ mmu-miR-217/ rno-miR-217	
hsa-miR-218-1*	hsa-miR-218-1*	hsa-miR-218-1*	
hsa-miR-218-2*	hsa-miR-218-2*	hsa-miR-218-2*/ mmu-miR-218-2*/ rno-miR-218*	
hsa-miR-218	hsa-miR-218	hsa-miR-218/ mmu-miR-218/ rno-miR-218	
hsa-miR-219-1-3p	hsa-miR-219-1-3p	hsa-miR-219-1-3p	
hsa-miR-219-2-3p	hsa-miR-219-2-3p	hsa-miR-219-2-3p/ rno-miR-219-2-3p	
hsa-miR-219-5p	hsa-miR-219-5p	hsa-miR-219-5p/ mmu-miR-219/ rno-miR-219-5p	
hsa-miR-22*	hsa-miR-22*	hsa-miR-22*/ mmu-miR-22*/ rno-miR-22*	
hsa-miR-22	hsa-miR-22	hsa-miR-22/ mmu-miR-22/ rno-miR-22	
hsa-miR-220a	hsa-miR-220a	hsa-miR-220a	
hsa-miR-220b	hsa-miR-220b	hsa-miR-220b	
hsa-miR-220c	hsa-miR-220c	hsa-miR-220c	
hsa-miR-221*	hsa-miR-221*	hsa-miR-221*	
hsa-miR-221	hsa-miR-221	hsa-miR-221/ mmu-miR-221/ rno-miR-221	
hsa-miR-222*	hsa-miR-222*	hsa-miR-222*	
hsa-miR-222	hsa-miR-222	hsa-miR-222/ mmu-miR-222/ rno-miR-222	
hsa-miR-223*	hsa-miR-223*	hsa-miR-223*	
hsa-miR-223	hsa-miR-223	hsa-miR-223/ mmu-miR-223/ rno-miR-223	
hsa-miR-224	hsa-miR-224	hsa-miR-224/ rno-miR-224	
hsa-miR-23a*	hsa-miR-23a*	hsa-miR-23a*/ rno-miR-23a*	
hsa-miR-23a	hsa-miR-23a	hsa-miR-23a/ mmu-miR-23a/ rno-miR-23a	
hsa-miR-23b	hsa-miR-23b	hsa-miR-23b	
hsa-miR-23b*	hsa-miR-23b*	hsa-miR-23b*	
hsa-miR-24-1*	hsa-miR-24-1*	hsa-miR-24-1*/ mmu-miR-24-1*/ rno-miR-24-1*	
hsa-miR-24-2*	hsa-miR-24-2*	hsa-miR-24-2*/ mmu-miR-24-2*/ rno-miR-24-2*	
hsa-miR-24	hsa-miR-24	hsa-miR-24/ mmu-miR-24/ rno-miR-24	
hsa-miR-25*	hsa-miR-25*	hsa-miR-25*	
